"Name","Objects","Shallow Size","Retained Size"
"uk.ac.ed.inf.sdp2012.group7.vision.ui.RangeSliderUI$ChangeHandler","15","240","240"
"com.yourkit.runtime.Core$MyProcessOutputReader","2","224","50352"
"java.io.FilePermission","7","224","1728"
"java.net.SocksSocketImpl","2","224","512"
"java.util.GregorianCalendar","2","224","224"
"sun.font.FileFontStrike","2","224","280"
"uk.ac.ed.inf.sdp2012.group7.vision.worldstate.ObjectPosition","7","224","968"
"java.lang.annotation.ElementType[]","7","216","216"
"java.lang.String[][]","4","216","1256"
"java.util.logging.Level","9","216","216"
"java.util.regex.Pattern$GroupHead","9","216","3888"
"java.util.regex.Pattern$GroupTail","9","216","1920"
"sun.awt.SunHints$Key","9","216","216"
"java.lang.reflect.Type[]","10","208","208"
"javax.swing.plaf.metal.MetalTabbedPaneUI","1","208","592"
"long[][]","2","208","4336"
"javax.management.MBeanConstructorInfo[]","12","200","232"
"sun.font.FontStrikeDesc","5","200","416"
"sun.management.MemoryPoolImpl$CollectionSensor","5","200","832"
"sun.management.MemoryPoolImpl$PoolSensor","5","200","784"
"sun.nio.cs.UTF_8$Decoder","5","200","200"
"java.awt.color.ICC_ColorSpace","3","192","368"
"java.awt.image.IndexColorModel","2","192","2656"
"java.lang.annotation.ElementType","8","192","192"
"java.lang.RuntimePermission","8","192","192"
"java.math.RoundingMode","8","192","192"
"java.security.BasicPermissionCollection","6","192","1296"
"java.util.Collections$SynchronizedMap","6","192","2304"
"java.util.Properties","4","192","18760"
"java.util.regex.Pattern$Curly","6","192","984"
"javax.imageio.stream.FileCacheImageInputStream","2","192","192"
"javax.naming.NameImpl","3","192","664"
"org.apache.log4j.helpers.PatternParser$LiteralPatternConverter","6","192","2704"
"sun.awt.OSInfo$WindowsVersion","8","192","192"
"sun.awt.X11.XIconInfo","4","192","33408"
"sun.font.FontStrikeDisposer","4","192","192"
"sun.font.StrikeCache$SoftDisposerRef","4","192","192"
"sun.font.TrueTypeFont$DirectoryEntry[]","2","192","1408"
"sun.reflect.annotation.AnnotationType","6","192","192"
"sun.reflect.generics.factory.CoreReflectionFactory","8","192","336"
"sun.reflect.generics.tree.MethodTypeSignature","6","192","6472"
"sun.security.provider.Sun","2","192","27784"
"sun.util.calendar.Gregorian$Date","2","192","192"
"uk.ac.ed.inf.sdp2012.group7.vision.ui.ControlGUI","1","192","192"
"java.text.DateFormat$Field[]","2","184","184"
"javax.imageio.plugins.jpeg.JPEGImageReadParam","2","176","176"
"sun.awt.X11.XFocusProxyWindow","2","176","496"
"uk.ac.ed.inf.sdp2012.group7.vision.Thresholding","1","176","280810512"
"byte[][]","7","168","168"
"com.sun.management.VMOption$Origin","7","168","168"
"com.yourkit.probes.ObjectRowIndexMap","7","168","168"
"java.awt.Rectangle[]","5","168","360"
"java.io.FilePermissionCollection","7","168","2456"
"java.util.Collections$UnmodifiableRandomAccessList","7","168","1256"
"java.util.Date","7","168","168"
"javax.management.openmbean.OpenMBeanOperationInfoSupport","3","168","1176"
"javax.swing.plaf.InputMapUIResource","7","168","1568"
"javax.swing.plaf.metal.MetalLookAndFeel$MetalLazyValue","7","168","168"
"lejos.pc.comm.NXTConnectionState","7","168","168"
"sun.java2d.loops.RenderLoops","3","168","168"
"sun.reflect.generics.tree.FieldTypeSignature[]","9","168","168"
"$Proxy3","10","160","160"
"au.edu.jcu.v4l4j.V4L4JDataBuffer","4","160","256"
"com.yourkit.runtime.TelemetryThreadJVMTI$MemPoolInfo","5","160","160"
"java.awt.font.FontRenderContext","5","160","160"
"java.io.FileInputStream","5","160","320"
"java.io.OutputStreamWriter","5","160","42080"
"java.lang.ThreadLocal","10","160","160"
"java.util.ArrayList$Itr","5","160","160"
"java.util.Collections$UnmodifiableMap","5","160","600"
"javax.imageio.spi.SubRegistry","5","160","10312"
"org.apache.log4j.helpers.PatternParser$BasicPatternConverter","5","160","2536"
"short[][]","5","160","1120"
"sun.awt.FontDescriptor[][]","5","160","160"
"com.yourkit.probes.builtin.Processes$IOOperationTable","3","144","456"
"java.awt.Cursor[]","2","144","144"
"java.io.BufferedReader","3","144","66104"
"java.util.jar.Manifest","6","144","14712"
"java.util.regex.Pattern$BitClass","6","144","4400"
"java.util.regex.Pattern$CharPropertyNames$2","6","144","144"
"javax.swing.ArrayTable","9","144","1512"
"javax.swing.plaf.DimensionUIResource","6","144","144"
"javax.swing.plaf.FontUIResource","2","144","144"
"javax.swing.plaf.metal.MetalLookAndFeel$FontActiveValue","6","144","144"
"sun.font.CharToGlyphMapper[]","2","144","144"
"sun.font.PhysicalStrike[]","2","144","144"
"sun.java2d.x11.X11Renderer","9","144","144"
"sun.nio.cs.StreamDecoder","3","144","25032"
"sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl","6","144","288"
"sun.reflect.generics.scope.MethodScope","6","144","144"
"sun.reflect.generics.tree.FormalTypeParameter[]","8","144","144"
"sun.reflect.UnsafeIntegerFieldAccessorImpl","6","144","144"
"sun.reflect.UnsafeObjectFieldAccessorImpl","6","144","144"
"uk.ac.ed.inf.sdp2012.group7.vision.ThresholdsState","1","144","144"
"com.yourkit.runtime.TelemetryThreadJVMTI","1","136","424"
"javax.imageio.ImageTypeSpecifier[]","2","136","9328"
"$Proxy4","8","128","128"
"com.sun.jmx.mbeanserver.OpenConverter$ArrayConverter","4","128","128"
"java.awt.EventDispatchThread","1","128","752"
"java.io.RandomAccessFile","4","128","160"
"java.net.Inet4Address","4","128","128"
"java.security.Principal[]","8","128","128"
"java.security.ProtectionDomain$Key","8","128","128"
"java.util.concurrent.locks.AbstractQueuedSynchronizer$Node","4","128","128"
"java.util.regex.Pattern$Branch","4","128","5560"
"java.util.regex.Pattern$CharPropertyNames$3","8","128","128"
"javax.management.MBeanNotificationInfo[]","6","128","128"
"sun.awt.im.InputMethodContext","2","128","496"
"sun.awt.X11.AwtGraphicsConfigData","4","128","128"
"sun.awt.X11.XInputMethod","2","128","128"
"sun.util.LocaleServiceProviderPool","4","128","7552"
"uk.ac.ed.inf.sdp2012.group7.strategy.Strategy$1","1","128","576"
"com.intel.bluetooth.BlueCoveImpl$AsynchronousShutdownThread","1","120","360"
"com.intel.bluetooth.BlueCoveImpl$ShutdownHookThread","1","120","344"
"double[][]","2","120","808"
"java.awt.AWTKeyStroke","5","120","120"
"java.awt.SystemColor[]","1","120","120"
"java.io.BufferedInputStream","3","120","16536"
"java.lang.StringBuffer","5","120","800"
"java.lang.StringCoding$StringEncoder","5","120","408"
"java.text.DigitList","3","120","176"
"java.util.regex.Pattern$Single","5","120","2280"
"java.util.regex.Pattern$Start","5","120","120"
"javax.imageio.spi.PartiallyOrderedSet","5","120","6760"
