"Name","Retained Size","Level"
"[Unreachable] int[1964] = {992758588, 1211904075, 170269715, 218699536, 303107858, 353439504, 404493075, 353770007, 503250944, 437918491, 437918234, 437918234, 404298266, 437786906, 505355804, 572596512, -65498, 505815583, 555623713, 639770405, -1, -1, -1, 539697952, 589310755, -213, -1, -1, -1, 573449763, 622996773, 740565293, -1, -1, -1, 522658335, 589309730, 673390632, 539567137, 589309987, 673390632, 556278560, 622995748, 740565546, 520093695, 622865443, 791028014, 640755493, -52696, 841492223, ...}","7872", "1"
"[Unreachable] int[1964] = {453864475, 1796868972, 174791178, 420178457, 1796868970, 208345612, 420309530, 1763249257, 208214284, 437020953, 1780157802, 258611983, 420439833, 1746538343, 292035089, 437479194, 1729696615, 342300948, 403858968, 1729499750, 275322640, 437348888, 1864044909, 292559889, 453865755, 1880690033, 242095886, 336423701, 1813318762, 191698444, 386493206, 1813711468, 275454989, 538339360, 1663310437, 660481822, 455559973, 806822200, 690886690, 539961625, 908868397, 1261908040, 843921714, 976244025, 1295724876, 793655855, 959270458, 1362832977, 777009709, 1009667900, ...}","7872", "1"
"java.awt.Toolkit [Class]","7872", "1"
"[Unreachable] int[1936] = {-1, 573383971, 555756580, 690036523, -1, -1, -1, 556278560, 606152996, 707076649, 539567136, 606087460, 690233385, 522789920, 589113379, 673389864, 570425343, 623062307, 807805999, 623912484, 690434343, 892021043, 687865855, 673592362, 807806002, -13687517, 639959039, 791094320, 603979775, 656616487, 740762412, 590226979, 639839782, -210, 620756991, 656748582, -207, 603979775, 639905573, -207, 654311423, 690302762, -210, 637534207, 673525289, -212, 654311423, 690433321, -214, 654311423, ...}","7760", "1"
"java.lang.Long$LongCache [Class]","7672", "1"
"java.util.Currency [Class]","7456", "1"
"javax.swing.plaf.basic.BasicLookAndFeel [Class]","7408", "1"
"sun.security.util.ManifestEntryVerifier [Class]","7368", "1"
"java.security.Security [Class]","7208", "1"
"java.lang.ClassLoader [Held by JVM, JNI Global, Class]","7136", "1"
"sun.awt.X11.XToolkit [Stack Local]","6968", "1"
"uk.ac.ed.inf.sdp2012.group7.vision.ui.RangeSlider","6776", "1"
"uk.ac.ed.inf.sdp2012.group7.vision.ui.RangeSlider","6776", "1"
"uk.ac.ed.inf.sdp2012.group7.vision.ui.RangeSlider","6776", "1"
"uk.ac.ed.inf.sdp2012.group7.vision.ui.RangeSlider","6776", "1"
"uk.ac.ed.inf.sdp2012.group7.vision.ui.RangeSlider","6776", "1"
"uk.ac.ed.inf.sdp2012.group7.vision.ui.RangeSlider","6776", "1"
"uk.ac.ed.inf.sdp2012.group7.vision.ui.RangeSlider","6776", "1"
"uk.ac.ed.inf.sdp2012.group7.vision.ui.RangeSlider","6776", "1"
"uk.ac.ed.inf.sdp2012.group7.vision.ui.RangeSlider","6776", "1"
"uk.ac.ed.inf.sdp2012.group7.vision.ui.RangeSlider","6776", "1"
"uk.ac.ed.inf.sdp2012.group7.vision.ui.RangeSlider","6776", "1"
"uk.ac.ed.inf.sdp2012.group7.vision.ui.RangeSlider","6776", "1"
"uk.ac.ed.inf.sdp2012.group7.vision.ui.RangeSlider","6776", "1"
"uk.ac.ed.inf.sdp2012.group7.vision.ui.RangeSlider","6776", "1"
"uk.ac.ed.inf.sdp2012.group7.vision.ui.RangeSlider","6776", "1"
"com.sun.imageio.plugins.jpeg.JPEGImageReader [Class]","6760", "1"
"com.sun.jmx.mbeanserver.PerInterface","6352", "1"
"[Unreachable] int[1584] = {858335026, 624044070, 623063335, 757408303, 573253155, 606153253, 690233641, 556344353, 606087460, 707076393, 539567136, 605956388, 707075881, 539632927, 639642406, 723918891, 607069475, 673591590, 858269235, 624043813, 690434599, 891955252, 657729831, 690435113, 875112244, 640886822, 673592104, 841492019, 556672547, 639839783, 774316334, 556672547, 623062567, 791028015, 573449250, 656748583, 807871025, 556803620, 639905574, 841492017, 657599015, 690368042, 723985453, 556344610, 572466725, 606281510, 572859426, 606217508, 623125029, 589636642, ...}","6352", "1"
"com.sun.jmx.mbeanserver.OpenConverter$CompositeConverter","6232", "1"
"java.util.ResourceBundle [Class]","6216", "1"
"javax.swing.JTable [Class]","6144", "1"
"javax.swing.AbstractButton [Class]","6120", "1"
"sun.awt.motif.MFontConfiguration [Class]","6120", "1"
"sun.nio.cs.StandardCharsets [Class]","6008", "1"
"sun.awt.X11.XWM [Class]","5952", "1"
"sun.java2d.loops.SurfaceType [Class]","5880", "1"
"sun.util.LocaleDataMetaInfo [Class]","5656", "1"
"javax.swing.JComponent [Class]","5608", "1"
"sun.awt.motif.MFontConfiguration","5544", "1"
"sun.awt.ComponentAccessor [Class]","5440", "1"
"javax.swing.JPasswordField [Class]","5408", "1"
"com.yourkit.Constants [Class]","5400", "1"
"java.awt.Component [Class]","5392", "1"
"javax.swing.JCheckBox [Class]","5392", "1"
"java.lang.Integer$IntegerCache [Class]","5376", "1"
"javax.swing.JTextField [Class]","5368", "1"
"sun.misc.FloatingDecimal [Class]","5328", "1"
"java.lang.Short$ShortCache [Class]","5312", "1"
"javax.swing.JButton [Class]","5296", "1"
"javax.swing.JRadioButton [Class]","5280", "1"
"javax.swing.JToggleButton [Class]","5272", "1"
"javax.swing.text.JTextComponent [Class]","5176", "1"
"javax.swing.JComboBox [Class]","5120", "1"
"javax.swing.JRootPane [Class]","5112", "1"
